Aquarium,Date,Tank,Experiment,Substrate,NutLevel,NN,Time,Flow,TankTA,HeaderTA,TankTemp,TankpH,TankSalinity,HeaderTemp,HeaderpH,HeaderSalinity,TankP,TankN,TankSi,HeaderP,HeaderSi,HeaderN,HeaderTA.norm,TankTA.norm,TankCO2,TankHCO3,TankCO3,TankDIC,TankOmegaArag,TankOmegaCalcite,TankpCO2,TankfCO2,HeaderCO2,HeaderHCO3,HeaderCO3,HeaderDIC,HeaderOmegaArag,HeaderOmegaCalcite,HeaderpCO2,HeaderfCO2,ResTime.mean,Flow.mean,SA,AFDW,DW,Volume,DayNight,NEC.AFDW,TankDIC.norm,HeaderDIC.norm,NCP.AFDW,R,GPP
1,12/3/2015,1,1,Coral,Ambient,0,10:00,34,2103.766843,2171.558766,25.53,8.024342366,38.08799562,25.11,7.966244194,38.36805245,0.03,2.37,0.95,0.03,2.29,0.18,2171.348766,2103.766843,10.28798953,1598.23603,199.5920853,1808.116104,3.103122801,4.68351377,374.3189252,373.1321652,12.63892128,1706.779978,184.706675,1904.125574,2.859914329,4.321357305,455.7305707,454.2781748,2.756825397,34.33333333,382.9064548,5.3248,101.70005,120,Day,13.3708498,1808.116104,1904.125574,24.61943335,14.94785845,39.5672918
1,12/3/2015,1,1,Coral,Ambient,0,14:00,NA,2067.997975,2183.870178,26.78,8.164146237,38.07867907,26.05,7.967938601,38.31921336,NA,NA,NA,0.22,2.6,0.38,2183.270178,2067.997975,6.455209375,1416.727811,255.4624181,1678.645439,3.994155891,6.004465175,242.1663341,241.4102032,12.34375837,1703.339482,191.3349976,1907.018238,2.975714398,4.483221696,455.4634929,454.0284082,2.756825397,34.33333333,382.9064548,5.3248,101.70005,120,Day,22.8062068,1678.645439,1907.018238,67.55933066,14.94785845,82.50718911
1,12/3/2015,1,1,Coral,Ambient,0,18:00,34,2091.277114,2169.886181,25.81,7.986557212,38.37290362,25.49,7.955733831,38.64408746,NA,NA,NA,0.07,1.68,0.12,2169.696181,2091.277114,11.25752646,1614.646304,187.8771978,1813.781028,2.91756029,4.398811836,413.0507786,411.7456027,12.83224292,1706.793829,183.88879,1903.514862,2.845148724,4.293354778,467.7713767,466.2874511,2.756825397,34.33333333,382.9064548,5.3248,101.70005,120,Day,15.51494127,1813.781028,1903.514862,19.99211637,14.94785845,34.93997482
1,12/3/2015,1,1,Coral,Ambient,0,22:00,NA,2117.878664,2169.79177,25.2,7.834884508,38.51680682,25.22,7.93426295,38.49975298,NA,NA,NA,0.06,0.82,0.15,2169.58177,2117.878664,17.58888692,1759.960769,141.6602166,1919.209872,2.191486111,3.310171355,636.1343392,634.1088006,13.74351529,1729.270178,175.0444376,1918.058131,2.708557379,4.090972566,497.2632603,495.6805428,2.756825397,34.33333333,382.9064548,5.3248,101.70005,120,Night,10.22928076,1919.209872,1918.058131,-10.68501675,14.94785845,4.262841701
1,12/4/2015,1,1,Coral,Ambient,0,2:00,NA,2123.132713,2166.959044,24.97,7.778915607,38.48745633,24.93,7.924867579,38.21992454,NA,NA,NA,0.28,1.58,0.22,2166.459044,2123.132713,20.60289406,1803.897611,126.4894529,1950.989958,1.9554073,2.955730155,740.7542824,738.3887331,14.23969963,1740.492284,169.5768707,1924.308854,2.62691024,3.971830593,510.7472728,509.1158717,2.756825397,34.33333333,382.9064548,5.3248,101.70005,120,Night,8.571964785,1950.989958,1924.308854,-19.12949309,14.94785845,-4.181634647
1,12/4/2015,1,1,Coral,Ambient,0,6:00,NA,2126.158204,2200.284973,24.74,7.766844582,38.53337679,24.67,7.918408654,38.44184545,NA,NA,NA,0.26,1.58,0.04,2199.984973,2126.158204,21.41458531,1815.948049,122.9214376,1960.284071,1.897721669,2.870499204,765.6849404,763.2328556,14.79272502,1774.872757,169.5503516,1959.215833,2.618859178,3.962326892,527.733927,526.0428934,2.756825397,34.33333333,382.9064548,5.3248,101.70005,120,Night,14.60637099,1960.284071,1959.215833,-15.0290655,14.94785845,-0.081207053
1,12/4/2015,1,1,Coral,Ambient,0,10:00,35,2123.232753,2180.555592,25.03,7.874432487,38.28562231,24.98,7.947823789,38.32814901,NA,NA,NA,0.07,6.2,0.14,2180.345592,2123.232753,15.95275714,1740.180702,151.7238603,1907.85732,2.350051555,3.551993876,573.8236646,571.9928835,13.41583767,1731.660729,178.6111566,1923.687723,2.764954966,4.179644634,482.0723841,480.5335613,2.756825397,34.33333333,382.9064548,5.3248,101.70005,120,Day,11.29957773,1907.85732,1923.687723,-5.035596497,14.94785845,9.912261949
2,12/3/2015,1,1,Algae,Ambient,0,10:00,36,2165.633498,2171.558766,26.15,8.155093758,38.16186652,25.11,7.966244194,38.36805245,NA,NA,NA,0.03,2.29,0.18,2171.348766,2165.633498,7.0947724,1507.785311,260.6884421,1775.568525,4.061493121,6.117705681,262.2153336,261.3903228,12.63892128,1706.779978,184.706675,1904.125574,2.859914329,4.321357305,455.7305707,454.2781748,2.630056962,36,2751.192949,7.7119,16.7109,158.8188657,Day,0.818372604,1775.568525,1904.125574,35.99794693,4.641417566,40.6393645
2,12/3/2015,1,1,Algae,Ambient,0,14:00,NA,2170.841558,2183.870178,27.25,8.321504821,38.34328405,26.05,7.967938601,38.31921336,NA,NA,NA,0.22,2.6,0.38,2183.270178,2170.841558,4.07472687,1298.266145,344.0573058,1646.398177,5.378806492,8.072295309,154.8143716,154.3337672,12.34375837,1703.339482,191.3349976,1907.018238,2.975714398,4.483221696,455.4634929,454.0284082,2.630056962,36,2751.192949,7.7119,16.7109,158.8188657,Day,1.779661446,1646.398177,1907.018238,72.85701968,4.641417566,77.49843725
2,12/3/2015,1,1,Algae,Ambient,0,18:00,35,2165.423752,2169.886181,26.05,8.109428859,38.3930594,25.49,7.955733831,38.64408746,NA,NA,NA,0.07,1.68,0.12,2169.696181,2165.423752,8.127801888,1554.239218,242.2037818,1804.570802,3.764486306,5.671347568,300.0159502,299.0708221,12.83224292,1706.793829,183.88879,1903.514862,2.845148724,4.293354778,467.7713767,466.2874511,2.630056962,36,2751.192949,7.7119,16.7109,158.8188657,Day,0.611771634,1804.570802,1903.514862,27.72394531,4.641417566,32.36536288
2,12/3/2015,1,1,Algae,Ambient,0,22:00,NA,2168.147323,2169.79177,25.39,7.933531318,38.28053952,25.22,7.93426295,38.49975298,NA,NA,NA,0.06,0.82,0.15,2169.58177,2168.147323,13.73246257,1728.265868,174.9260524,1916.924383,2.713658475,4.097001331,498.4049593,496.8218778,13.74351529,1729.270178,175.0444376,1918.058131,2.708557379,4.090972566,497.2632603,495.6805428,2.630056962,36,2751.192949,7.7119,16.7109,158.8188657,Night,0.205399314,1916.924383,1918.058131,0.119284777,4.641417566,4.760702343
2,12/4/2015,1,1,Algae,Ambient,0,2:00,NA,2175.208963,2166.959044,25.17,7.874157308,38.16696485,24.93,7.924867579,38.21992454,NA,NA,NA,0.28,1.58,0.22,2166.459044,2175.208963,16.33261388,1783.978111,155.8507175,1956.161442,2.417766673,3.653019696,589.1850316,587.308403,14.23969963,1740.492284,169.5768707,1924.308854,2.62691024,3.971830593,510.7472728,509.1158717,2.630056962,36,2751.192949,7.7119,16.7109,158.8188657,Night,-1.252906075,1956.161442,1924.308854,-7.869075778,4.641417566,-3.227658211
2,12/4/2015,1,1,Algae,Ambient,0,6:00,NA,2177.212805,2200.284973,24.84,7.853422439,38.52325235,24.67,7.918408654,38.44184545,NA,NA,NA,0.26,1.58,0.04,2199.984973,2177.212805,17.37463672,1801.796219,149.3861354,1968.556991,2.307437294,3.489181731,622.7667155,620.7750735,14.79272502,1774.872757,169.5503516,1959.215833,2.618859178,3.962326892,527.733927,526.0428934,2.630056962,36,2751.192949,7.7119,16.7109,158.8188657,Night,3.260760199,1968.556991,1959.215833,-5.935892144,4.641417566,-1.294474578
2,12/4/2015,1,1,Algae,Ambient,0,10:00,37,2175.427753,2180.555592,25.4,7.982343137,38.04799979,24.98,7.947823789,38.32814901,NA,NA,NA,0.07,6.2,0.14,2180.345592,2175.427753,12.05366216,1695.251919,191.1168862,1898.422468,2.970676899,4.485551891,437.0562761,435.6683223,13.41583767,1731.660729,178.6111566,1923.687723,2.764954966,4.179644634,482.0723841,480.5335613,2.630056962,36,2751.192949,7.7119,16.7109,158.8188657,Day,0.704188274,1898.422468,1923.687723,6.531305598,4.641417566,11.17272316
